Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Payload,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: size; type
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Payload,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Http,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Http,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: host; method; path; url; statusCode; requestSize; responseSize; prefix; headers
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Hystrix,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: prefix; commandKey; commandGroup; threadPoolKey
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Hystrix,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Async,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: prefix; threadNameKey; classNameKey; methodNameKey
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Async,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Mvc,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: controllerClass; controllerMethod
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Mvc,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,ChainRunnable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,DefaultItemNamer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,Item,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SAMPLED_NAME; PROCESS_ID_NAME; PARENT_ID_NAME; TRACE_ID_NAME; SPAN_NAME_NAME; SPAN_ID_NAME; SPAN_EXPORT_NAME; SPAN_FLAGS; SPAN_BAGGAGE_HEADER_PREFIX; SPAN_HEADERS; SPAN_SAMPLED; SPAN_NOT_SAMPLED; SPAN_LOCAL_COMPONENT_TAG_NAME; SPAN_ERROR_TAG_NAME; CLIENT_RECV; CLIENT_SEND; SERVER_RECV; SERVER_SEND; SPAN_PEER_SERVICE_TAG_NAME; INSTANCEID; begin; end; name; traceIdHigh; traceId; parents; spanId; remote; exportable; tags; processId; logs; savedSpan; baggage; startNanos; durationMicros; HEX_DIGITS; begin; end; name; traceIdHigh; traceId; parents; spanId; remote; exportable; processId; savedSpan; logs; tags; baggage
train-ticket-master,org.myproject.ms.monitoring,Item,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 37 public methods
train-ticket-master,org.myproject.ms.monitoring,Item.SpanBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,Item.SpanBuilder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: begin; end; name; traceIdHigh; traceId; parents; spanId; remote; exportable; processId; savedSpan; logs; tags; baggage
train-ticket-master,org.myproject.ms.monitoring,ItemExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,ItemInjector,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,NOItemAdjuster,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,NOItemReporter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,StateItemAdjuster,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.async,ACAtcfg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.async,ADAtcfg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.async,ADAtcfg.DefaultAsyncConfigurerSupport,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: beanFactory
train-ticket-master,org.myproject.ms.monitoring.instrument.async,ADAtcfg.DefaultAsyncConfigurerSupport,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.async,EBPProc.ExecutorMethodInterceptor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: delegate; beanFactory
train-ticket-master,org.myproject.ms.monitoring.instrument.async,EBPProc.ExecutorMethodInterceptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.async,LTACus,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.async,LTExec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.async,TCCall,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.async,TSEServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.async,TSEServ,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TEServ
train-ticket-master,org.myproject.ms.monitoring.instrument.messaging.websocket,TWSAConf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,HBMExtra,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,HBMExtra,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MSTMExtra
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,HBMInject,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,HBMInject,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MSTMInject
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,ITCInter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,ITCInter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TCInter
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,MTMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,TCInter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ATCInter
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,TMHead,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SPAN_ID_NAME; SAMPLED_NAME; PROCESS_ID_NAME; PARENT_ID_NAME; TRACE_ID_NAME; SPAN_NAME_NAME; SPAN_FLAGS_NAME; MESSAGE_SENT_FROM_CLIENT; HEADER_DELIMITER
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,TSIAConf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.msg,TSMAConf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.rest,SHAConf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.rest,SHCStra.HystrixTraceCallable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: log; tracer; traceKeys; callable; parent
train-ticket-master,org.myproject.ms.monitoring.instrument.rest,SHCStra.HystrixTraceCallable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.rest,SHCStra.HystrixTraceCallable,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: log; tracer; traceKeys; callable; parent
train-ticket-master,org.myproject.ms.monitoring.instrument.rest,TComm,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.schedl,TSAConf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,HRTMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TACHRFW,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ATHRInter
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TALTExec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TARTemp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TARTemp.TraceSuccessCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: log; tracer; parent; delegate
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TARTemp.TraceSuccessCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TARTemp.TraceFailureCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: log; tracer; parent; delegate
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TARTemp.TraceFailureCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TARTemp.TraceListenableFutureCallbackWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: tracer; parent; delegate
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TARTemp.TraceListenableFutureCallbackWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TARTemp.TraceListenableFutureCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: log; tracer; parent
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TARTemp.TraceListenableFutureCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,THResp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TRTInter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ATHRInter
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TWACAConf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TWCAConf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TWCAConf.TraceInterceptorConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: restTemplates; traceRestTemplateInterceptor
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,TWCAConf.TraceInterceptorConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,SWProp,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_SKIP_PATTERN; enabled; skipPattern; client; enabled; client; enabled; template; enabled
train-ticket-master,org.myproject.ms.monitoring.instrument.web,SWProp.Client,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: enabled
train-ticket-master,org.myproject.ms.monitoring.instrument.web,SWProp.Client,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,SWProp.Async,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: client
train-ticket-master,org.myproject.ms.monitoring.instrument.web,SWProp.Async,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,SWProp.AsyncClient,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: enabled; template
train-ticket-master,org.myproject.ms.monitoring.instrument.web,SWProp.AsyncClient,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,SWProp.Template,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: enabled
train-ticket-master,org.myproject.ms.monitoring.instrument.web,SWProp.Template,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TFilter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; HTTP_COMPONENT; ORDER; TRACE_REQUEST_ATTR; TRACE_ERROR_HANDLED_REQUEST_ATTR; TRACE_CLOSE_SPAN_REQUEST_ATTR; DEFAULT_SKIP_PATTERN; tracer; traceKeys; skipPattern; spanReporter; spanExtractor; httpTraceKeysInjector; urlPathHelper
train-ticket-master,org.myproject.ms.monitoring.instrument.web,THAConf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,THSResp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TPWriter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TPWriter,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 34 public methods
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TRAttr,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HANDLED_SPAN_REQUEST_ATTR; ERROR_HANDLED_SPAN_REQUEST_ATTR; NEW_SPAN_REQUEST_ATTR; SPAN_CONTINUED_REQUEST_ATTR
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TSDBPProcess.TraceDelegatingHandlerMapping,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: delegate; beanFactory
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TSDBPProcess.TraceDelegatingHandlerMapping,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TSOStr,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TSOStr,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TWAConf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.instrument.web,TWAConf.TraceWebMvcAutoConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
