Project Name;Package Name;Type Name;Method Name;Implementation Smell;Cause of the Smell;Method start line no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryForTravel;Long Statement;"The length of the statement ""LOGGER.info(""[queryForTravel][query stations and distances][stations: {} distances: {}]""`route.getStations()`route.getDistances())";" is 131.;39
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryForTravels;Complex Conditional;The conditional expression !route.getStations().contains(start) || !route.getStations().contains(end) || route.getStations().indexOf(start) >= route.getStations().indexOf(end) is complex.;123
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryForTravels;Complex Method;Cyclomatic complexity of the method is 27;123
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryForTravels;Long Method;The method has 171 lines of code.;123
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryForTravels;Long Statement;The length of the statement if (!route.getStations().contains(start) || !route.getStations().contains(end) || route.getStations().indexOf(start) >= route.getStations().indexOf(end)) {"" is 155.";123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryForTravels;Magic Number;The method contains a magic number: 0.75;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryForStationId;Long Statement;"The length of the statement ""ResponseEntity<Response> re=restTemplate.exchange(station_service_url + ""/api/v1/stationservice/stations/id/"" + stationName`HttpMethod.GET`requestEntity`Response.class)";" is 169.;323
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryForStationId;Long Statement;The length of the statement BasicServiceImpl.LOGGER.warn(""[queryForStationId][Query for stationId error][stationName: {}` message: {}]""`stationName`msg)";" is 125.;323
train-ticket-master;fdse.microservice.service;BasicServiceImpl;checkStationsExists;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(station_service_url + ""/api/v1/stationservice/stations/idlist""`HttpMethod.POST`requestEntity`Response.class)";" is 159.;341
train-ticket-master;fdse.microservice.service;BasicServiceImpl;checkStationExists;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(station_service_url + ""/api/v1/stationservice/stations/id/"" + stationName`HttpMethod.GET`requestEntity`Response.class)";" is 169.;358
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryTrainTypeByNames;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(train_service_url + ""/api/v1/trainservice/trains/byNames""`HttpMethod.POST`requestEntity`Response.class)";" is 154.;372
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryTrainTypeByName;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(train_service_url + ""/api/v1/trainservice/trains/byName/"" + trainTypeName`HttpMethod.GET`requestEntity`Response.class)";" is 169.;389
train-ticket-master;fdse.microservice.service;BasicServiceImpl;getRoutesByRouteIds;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(route_service_url + ""/api/v1/routeservice/routes/byIds/""`HttpMethod.POST`requestEntity`Response.class)";" is 153.;403
train-ticket-master;fdse.microservice.service;BasicServiceImpl;getRouteByRouteId;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(route_service_url + ""/api/v1/routeservice/routes/"" + routeId`HttpMethod.GET`requestEntity`Response.class)";" is 156.;423
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryPriceConfigByRouteIdAndTrainType;Long Statement;The length of the statement BasicServiceImpl.LOGGER.info(""[queryPriceConfigByRouteIdAndTrainType][Query For Price Config][RouteId: {} `TrainType: {}]""`routeId`trainType)";" is 142.;442
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryPriceConfigByRouteIdAndTrainType;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(price_service_url + ""/api/v1/priceservice/prices/"" + routeId+ ""/""+ trainType`HttpMethod.GET`requestEntity`Response.class)";" is 172.;442
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryPriceConfigByRouteIdAndTrainType;Long Statement;The length of the statement BasicServiceImpl.LOGGER.info(""[queryPriceConfigByRouteIdAndTrainType][Response Resutl to String][result: {}]""`result.toString())";" is 129.;442
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryPriceConfigByRouteIdsAndTrainTypes;Long Statement;The length of the statement BasicServiceImpl.LOGGER.info(""[queryPriceConfigByRouteIdsAndTrainTypes][Query For Price Config][RouteId and TrainType: {}]""`routeIdsTypes)";" is 139.;457
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryPriceConfigByRouteIdsAndTrainTypes;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(price_service_url + ""/api/v1/priceservice/prices/byRouteIdsAndTrainTypes""`HttpMethod.POST`requestEntity`Response.class)";" is 170.;457
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryPriceConfigByRouteIdsAndTrainTypes;Long Statement;The length of the statement BasicServiceImpl.LOGGER.warn(""[queryPriceConfigByRouteIdsAndTrainTypes][Get Price Config by routeId and trainType Failed][Fail msg: {}]""`result.getMsg())";" is 154.;457
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryPriceConfigByRouteIdsAndTrainTypes;Long Statement;The length of the statement BasicServiceImpl.LOGGER.warn(""[queryPriceConfigByRouteIdsAndTrainTypes][Get Price Config by routeId and trainType Failed][Fail msg: {}]""`e.getMessage())";" is 153.;457
train-ticket-master;fdse.microservice.service;BasicServiceImpl;queryPriceConfigByRouteIdsAndTrainTypes;Long Statement;The length of the statement BasicServiceImpl.LOGGER.info(""[queryPriceConfigByRouteIdsAndTrainTypes][Get Price Config by routeId and trainType][Success][priceConfigs: {}]""`result.getData())";" is 161.;457
train-ticket-master;fdse.microservice.service;BasicServiceImplTest;testQueryForTravel;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-station-service:12345/api/v1/stationservice/stations/id/"" + ""starting_place""`HttpMethod.GET`requestEntity`Response.class)).thenReturn(re)";" is 184.;38
train-ticket-master;fdse.microservice.service;BasicServiceImplTest;testQueryForTravel;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-station-service:12345/api/v1/stationservice/stations/id/"" + ""end_place""`HttpMethod.GET`requestEntity`Response.class)).thenReturn(re)";" is 179.;38
train-ticket-master;fdse.microservice.service;BasicServiceImplTest;testQueryForTravel;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-train-service:14567/api/v1/trainservice/trains/"" + """"`HttpMethod.GET`requestEntity`Response.class)).thenReturn(re)";" is 161.;38
train-ticket-master;fdse.microservice.service;BasicServiceImplTest;testQueryForTravel;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-route-service:11178/api/v1/routeservice/routes/"" + ""route_id""`HttpMethod.GET`requestEntity`Response.class)).thenReturn(re)";" is 169.;38
train-ticket-master;fdse.microservice.service;BasicServiceImplTest;testQueryForTravel;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-price-service:16579/api/v1/priceservice/prices/"" + ""route_id"" + ""/""+ """"`HttpMethod.GET`requestEntity2`Response.class)).thenReturn(re2)";" is 181.;38
train-ticket-master;fdse.microservice.service;BasicServiceImplTest;testQueryForTravel;Magic Number;The method contains a magic number: 2.0;38
train-ticket-master;fdse.microservice.service;BasicServiceImplTest;testQueryForStationId;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-station-service:12345/api/v1/stationservice/stations/id/"" + ""stationName""`HttpMethod.GET`requestEntity`Response.class)).thenReturn(re)";" is 181.;89
train-ticket-master;fdse.microservice.service;BasicServiceImplTest;testCheckStationExists;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-station-service:12345/api/v1/stationservice/stations/id/"" + ""stationName""`HttpMethod.GET`requestEntity`Response.class)).thenReturn(re)";" is 181.;102
train-ticket-master;fdse.microservice.service;BasicServiceImplTest;testQueryTrainType;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-train-service:14567/api/v1/trainservice/trains/byName/"" + ""trainTypeName""`HttpMethod.GET`requestEntity`Response.class)).thenReturn(re)";" is 181.;115
train-ticket-master;fdse.microservice.service;StationServiceImpl;queryForIdBatch;Long Statement;The length of the statement StationServiceImpl.LOGGER.warn(""[queryForIdBatch][Find station ids warn][Stations not found][StationNameNumber: {}]""`nameList.size())";" is 134.;102
train-ticket-master;fdse.microservice.service;StationServiceImpl;queryByIdBatch;Long Statement;The length of the statement StationServiceImpl.LOGGER.error(""[queryByIdBatch][Find station names error][Stations not found][StationIdNumber: {}]""`idList.size())";" is 133.;135
train-ticket-master;cancel.config;SecurityConfig;corsConfigurer;Long Statement;The length of the statement registry.addMapping(""/**"").allowedOrigins(ALL).allowedMethods(ALL).allowedHeaders(ALL).allowCredentials(false).maxAge(3600)";" is 124.;38
train-ticket-master;cancel.config;SecurityConfig;corsConfigurer;Magic Number;The method contains a magic number: 3600;38
train-ticket-master;cancel.config;SecurityConfig;addCorsMappings;Long Statement;The length of the statement registry.addMapping(""/**"").allowedOrigins(ALL).allowedMethods(ALL).allowedHeaders(ALL).allowCredentials(false).maxAge(3600)";" is 124.;49
train-ticket-master;cancel.config;SecurityConfig;addCorsMappings;Magic Number;The method contains a magic number: 3600;49
train-ticket-master;cancel.config;SecurityConfig;configure;Long Statement;The length of the statement httpSecurity.httpBasic().disable().csrf().disable().sessionManagement().sessionCreationPolicy(SessionCreationPolicy.STATELESS).and().authorizeRequests().antMatchers(""/api/v1/cancelservice/**"").hasAnyRole(""ADMIN""`""USER"").antMatchers(""/swagger-ui.html""`""/webjars/**""`""/images/**""`""/configuration/**""`""/swagger-resources/**""`""/v2/**"").permitAll().anyRequest().authenticated().and().addFilterBefore(new JWTFilter()`UsernamePasswordAuthenticationFilter.class)";" is 455.;62
train-ticket-master;cancel.controller;CancelControllerTest;testHome;Long Statement;The length of the statement mockMvc.perform(MockMvcRequestBuilders.get(""/api/v1/cancelservice/welcome"")).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().string(""Welcome to [ Cancel Service ] !""))";" is 211.;41
train-ticket-master;cancel.controller;CancelControllerTest;testCalculate;Long Statement;The length of the statement String result=mockMvc.perform(MockMvcRequestBuilders.get(""/api/v1/cancelservice/cancel/refound/order_id"")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString()";" is 203.;48
train-ticket-master;cancel.controller;CancelControllerTest;testCancelTicket;Long Statement;The length of the statement Mockito.when(cancelService.cancelOrder(Mockito.anyString()`Mockito.anyString()`Mockito.any(HttpHeaders.class))).thenReturn(response)";" is 133.;57
train-ticket-master;cancel.controller;CancelControllerTest;testCancelTicket;Long Statement;The length of the statement String result=mockMvc.perform(MockMvcRequestBuilders.get(""/api/v1/cancelservice/cancel/order_id/login_id"")).andExpect(MockMvcResultMatchers.status().isOk()).andReturn().getResponse().getContentAsString()";" is 204.;57
train-ticket-master;cancel.service;CancelServiceImpl;cancelOrder;Complex Conditional;The conditional expression order.getStatus() == OrderStatus.NOTPAID.getCode() || order.getStatus() == OrderStatus.PAID.getCode() || order.getStatus() == OrderStatus.CHANGE.getCode() is complex.;45
train-ticket-master;cancel.service;CancelServiceImpl;cancelOrder;Complex Conditional;The conditional expression order.getStatus() == OrderStatus.NOTPAID.getCode() || order.getStatus() == OrderStatus.PAID.getCode() || order.getStatus() == OrderStatus.CHANGE.getCode() is complex.;45
train-ticket-master;cancel.service;CancelServiceImpl;cancelOrder;Complex Method;Cyclomatic complexity of the method is 10;45
train-ticket-master;cancel.service;CancelServiceImpl;cancelOrder;Long Statement;The length of the statement if (order.getStatus() == OrderStatus.NOTPAID.getCode() || order.getStatus() == OrderStatus.PAID.getCode() || order.getStatus() == OrderStatus.CHANGE.getCode()) {"" is 161.";45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImpl;cancelOrder;Long Statement;"The length of the statement ""CancelServiceImpl.LOGGER.error(""[cancelOrder][Cancel Order Failed][orderId: {}` Reason: {}]""`orderId`changeOrderResult.getMsg())";" is 129.;45
train-ticket-master;cancel.service;CancelServiceImpl;cancelOrder;Long Statement;The length of the statement CancelServiceImpl.LOGGER.info(""[cancelOrder][Cancel Order` Order Status Not Permitted][loginId: {}` orderId: {}]""`loginId`orderId)";" is 131.;45
train-ticket-master;cancel.service;CancelServiceImpl;cancelOrder;Long Statement;The length of the statement if (order.getStatus() == OrderStatus.NOTPAID.getCode() || order.getStatus() == OrderStatus.PAID.getCode() || order.getStatus() == OrderStatus.CHANGE.getCode()) {"" is 161.";45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImpl;cancelOrder;Long Statement;"The length of the statement ""CancelServiceImpl.LOGGER.error(""[cancelOrder][Cancel Order Failed][orderId: {}` Reason: {}]""`orderId`changeOrderResult.getMsg())";" is 129.;45
train-ticket-master;cancel.service;CancelServiceImpl;cancelOrder;Long Statement;The length of the statement CancelServiceImpl.LOGGER.warn(""[cancelOrder][Cancel Order` Order Status Not Permitted][loginId: {}` orderId: {}]""`loginId`orderId)";" is 131.;45
train-ticket-master;cancel.service;CancelServiceImpl;sendEmail;Long Statement;The length of the statement ResponseEntity<Boolean> re=restTemplate.exchange(notification_service_url + ""/api/v1/notifyservice/notification/order_cancel_success""`HttpMethod.POST`requestEntity`Boolean.class)";" is 179.;143
train-ticket-master;cancel.service;CancelServiceImpl;calculateRefund;Long Statement;The length of the statement CancelServiceImpl.LOGGER.info(""[calculateRefund][Cancel Order` Refund Price From Order Service.Not Paid][orderId: {}]""`orderId)";" is 128.;156
train-ticket-master;cancel.service;CancelServiceImpl;calculateRefund;Long Statement;The length of the statement CancelServiceImpl.LOGGER.info(""[calculateRefund][Cancel Order` Refund Price From Order Service.Paid][orderId: {}]""`orderId)";" is 124.;156
train-ticket-master;cancel.service;CancelServiceImpl;calculateRefund;Long Statement;The length of the statement CancelServiceImpl.LOGGER.info(""[calculateRefund][Cancel Order Refund Price Order.Cancel Not Permitted][orderId: {}]""`orderId)";" is 126.;156
train-ticket-master;cancel.service;CancelServiceImpl;calculateRefund;Long Statement;The length of the statement CancelServiceImpl.LOGGER.info(""[calculateRefund][Cancel Order` Refund Price From Order Other Service.Not Paid][orderId: {}]""`orderId)";" is 134.;156
train-ticket-master;cancel.service;CancelServiceImpl;calculateRefund;Long Statement;The length of the statement CancelServiceImpl.LOGGER.info(""[calculateRefund][Cancel Order][Order Travel Date: {}]""`order.getTravelDate().toString())";" is 121.;200
train-ticket-master;cancel.service;CancelServiceImpl;calculateRefund;Magic Number;The method contains a magic number: 0.8;200
train-ticket-master;cancel.service;CancelServiceImpl;cancelFromOrder;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(order_service_url + ""/api/v1/orderservice/order""`HttpMethod.PUT`requestEntity`Response.class)";" is 144.;238
train-ticket-master;cancel.service;CancelServiceImpl;cancelFromOtherOrder;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(order_other_service_url + ""/api/v1/orderOtherService/orderOther""`HttpMethod.PUT`requestEntity`Response.class)";" is 160.;263
train-ticket-master;cancel.service;CancelServiceImpl;drawbackMoney;Long Statement;The length of the statement ResponseEntity<Response> re=restTemplate.exchange(inside_payment_service_url + ""/api/v1/inside_pay_service/inside_payment/drawback/"" + userId+ ""/""+ money`HttpMethod.GET`requestEntity`Response.class)";" is 199.;278
train-ticket-master;cancel.service;CancelServiceImpl;getAccount;Long Statement;The length of the statement ResponseEntity<Response<User>> re=restTemplate.exchange(user_service_url + ""/api/v1/userservice/users/id/"" + orderId`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<User>>(){"" is 195.";294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImpl;getOrderByIdFromOrder;Long Statement;"The length of the statement ""ResponseEntity<Response<Order>> re=restTemplate.exchange(order_service_url + ""/api/v1/orderservice/order/"" + orderId`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<Order>>(){"" is 196.";308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImpl;getOrderByIdFromOrderOther;Long Statement;"The length of the statement ""ResponseEntity<Response<Order>> re=restTemplate.exchange(order_other_service_url + ""/api/v1/orderOtherService/orderOther/"" + orderId`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<Order>>(){"" is 212.";322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testCancelOrder1;Long Statement;"The length of the statement ""Mockito.when(restTemplate.exchange(""http://ts-order-service:12031/api/v1/orderservice/order/"" + ""order_id""`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<Order>>(){"" is 186.";37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testCancelOrder1;Magic Number;The method contains a magic number: 6;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testCancelOrder2;Long Statement;"The length of the statement ""Mockito.when(restTemplate.exchange(""http://ts-order-service:12031/api/v1/orderservice/order/"" + ""order_id""`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<Order>>(){"" is 186.";54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testCancelOrder2;Long Statement;"The length of the statement ""Mockito.when(restTemplate.exchange(""http://ts-order-other-service:12032/api/v1/orderOtherService/orderOther/"" + ""order_id""`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<Order>>(){"" is 202.";54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testCancelOrder2;Magic Number;The method contains a magic number: 6;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testSendEmail;Long Statement;"The length of the statement ""Mockito.when(restTemplate.exchange(""http://ts-notification-service:17853/api/v1/notifyservice/notification/order_cancel_success""`HttpMethod.POST`requestEntity2`Boolean.class)).thenReturn(re)";" is 191.;80
train-ticket-master;cancel.service;CancelServiceImplTest;testCalculateRefund1;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-order-service:12031/api/v1/orderservice/order/"" + ""order_id""`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<Order>>(){"" is 186.";94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testCalculateRefund1;Magic Number;The method contains a magic number: 6;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testCalculateRefund2;Long Statement;"The length of the statement ""Mockito.when(restTemplate.exchange(""http://ts-order-service:12031/api/v1/orderservice/order/"" + ""order_id""`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<Order>>(){"" is 186.";111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testCalculateRefund2;Long Statement;"The length of the statement ""Mockito.when(restTemplate.exchange(""http://ts-order-other-service:12032/api/v1/orderOtherService/orderOther/"" + ""order_id""`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<Order>>(){"" is 202.";111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testCalculateRefund2;Magic Number;The method contains a magic number: 6;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;cancel.service;CancelServiceImplTest;testDrawbackMoney;Long Statement;"The length of the statement ""Mockito.when(restTemplate.exchange(""http://ts-inside-payment-service:18673/api/v1/inside_pay_service/inside_payment/drawback/"" + ""userId"" + ""/""+ ""money""`HttpMethod.GET`requestEntity`Response.class)).thenReturn(re)";" is 214.;137
train-ticket-master;cancel.service;CancelServiceImplTest;testGetAccount;Long Statement;The length of the statement Mockito.when(restTemplate.exchange(""http://ts-user-service:12342/api/v1/userservice/users/id/"" + ""orderId""`HttpMethod.GET`requestEntity`new ParameterizedTypeReference<Response<User>>(){"" is 185.";150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
